"proposed_use","existing_construction_type","status_date","proposed_units","proposed_construction_type","permit_number","proposed_occupancy","data_loaded_at","description","primary_address_flag","revised_cost","street_name","supervisor_district","street_suffix","completed_date","lot","unit_suffix","filed_date","fire_only_permit","issued_date","plansets","structural_notification","block","application_submission_method","point_source","site_permit","number_of_existing_stories","number_of_proposed_stories","data_as_of","neighborhoods_analysis_boundaries","existing_occupancy","permit_type_definition","last_permit_activity_date","permit_type","permit_creation_date","zipcode","record_id","proposed_construction_type_description","unit","adu","estimated_cost","street_number","existing_use","existing_units","location","street_number_suffix","status","existing_construction_type_description"
"2 family dwelling","5","2023-09-07T15:28:02.000","2","5","202309076135","R-3","2023-09-08T04:14:49.000","reroofing","Y","26500","Broderick","2","St","","005","","2023-09-07T15:28:02.000","","","0","","0931","in-house","parcel_centroid","","3","3","2023-09-07T23:55:00.000","Marina","R-3","otc alterations permit","2023-09-07T15:33:18.000","8","2023-09-07T00:00:00.000","94123","167779684528","wood frame (5)","","N","26500","3233","2 family dwelling","2","{""coordinates"":[-122.444959227,37.800185229],""type"":""Point""}","","filed","wood frame (5)"
"office","1","2023-09-07T08:36:53.000","0","1","202309076034","B","2023-09-08T04:14:49.000","1st fl - fire only work for the main lobby remodel. additions 6 smoke detectors, 2 duct detectors, 5 modules, 12 speaker/strobes, 2 strobes and a strobe power supply. ref pa 2021-1004-9753","Y","31630","Montgomery","3","St","","032","","2023-09-07T07:39:55.000","Y","2023-09-07T08:36:53.000","2","","0207","in-house","parcel_centroid","","50","50","2023-09-07T23:55:00.000","Chinatown","B","otc alterations permit","2023-09-07T08:31:32.000","8","2023-09-07T00:00:00.000","94111","1677684296199","constr type 1","0","N","31630","600","office","0","{""coordinates"":[-122.40273227,37.795156562],""type"":""Point""}","","issued","constr type 1"
"manufacturing","5","2023-09-07T14:04:19.000","","5","202309076078","F-1","2023-09-08T04:14:49.000","1/f: changeout (400) fire sprinklers per nfpa 13 head age limit. voluntary upgrade to seismic bracing to meet nfpa 13 2022.","Y","96068","Minnesota","10","St","","002","","2023-09-07T10:57:36.000","Y","2023-09-07T14:04:19.000","2","","4229","in-house","parcel_centroid","","1","1","2023-09-07T23:55:00.000","Potrero Hill","F-1","otc alterations permit","2023-09-07T13:59:19.000","8","2023-09-07T00:00:00.000","94107","1677731172513","wood frame (5)","","N","96068","1201","manufacturing","","{""coordinates"":[-122.389446948,37.754939657],""type"":""Point""}","","issued","wood frame (5)"
"1 family dwelling","5","2023-09-07T14:03:13.000","1","5","202309076085","R-3","2023-09-08T04:14:49.000","revision to pa# 202102235175, structural revision to foundation to rear.","Y","8000","28th","4","Av","","006","","2023-09-07T11:24:51.000","","2023-09-07T14:03:13.000","2","","2429","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","Sunset/Parkside","R-3","otc alterations permit","2023-09-07T13:57:33.000","8","2023-09-07T00:00:00.000","94116","1677739135669","wood frame (5)","","N","8000","2531","1 family dwelling","1","{""coordinates"":[-122.485489431,37.740126221],""type"":""Point""}","","issued","wood frame (5)"
"school","5","2023-09-07T08:42:27.000","0","5","202309076054","E","2023-09-08T04:14:49.000","replace lighting on a fence with high efficiency lights. need title 24. ref 202307252934","Y","0","Valencia","9","St","","007","","2023-09-07T08:42:27.000","","","2","","3533","in-house","parcel_centroid","","3","3","2023-09-07T23:55:00.000","Mission","E","otc alterations permit","2023-09-07T09:14:47.000","8","2023-09-07T00:00:00.000","94103","1677708157009","wood frame (5)","","N","40000","250","school","0","{""coordinates"":[-122.422908237,37.768979026],""type"":""Point""}","","filed","wood frame (5)"
"","5","2023-09-07T11:25:58.000","1","5","202309076069","R-3","2023-09-08T04:14:49.000","roof replacement with pv gutters and down spouts. reroof","Y","32000","Turquoise","8","Wy","","004","","2023-09-07T10:06:41.000","","2023-09-07T11:25:58.000","0","","7508","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","Glen Park","R-3","otc alterations permit","2023-09-07T11:23:36.000","8","2023-09-07T00:00:00.000","94131","1677722226643","wood frame (5)","","N","32000","132","1 family dwelling","1","{""coordinates"":[-122.44292618,37.743598073],""type"":""Point""}","","issued","wood frame (5)"
"1 family dwelling","5","2023-09-07T13:29:17.000","1","5","202309076094","R-3","2023-09-08T04:14:49.000","repair dryrot in front of house, not to exceed 120 square feet","Y","3000","21st","8","St","","058","","2023-09-07T12:06:51.000","","2023-09-07T13:29:17.000","0","","3620","in-house","parcel_centroid","","3","3","2023-09-07T23:55:00.000","Noe Valley","R-3","otc alterations permit","2023-09-07T13:25:29.000","8","2023-09-07T00:00:00.000","94114","1677748162614","wood frame (5)","","N","3000","3649","1 family dwelling","1","{""coordinates"":[-122.428933833,37.756183974],""type"":""Point""}","","issued","wood frame (5)"
"apartments","5","2023-09-07T08:57:43.000","35","5","202309076048","B,M,R-2","2023-09-08T04:14:49.000","revision to 202305177957 change top graphic annunciator layout","Y","1","Valencia","6","St","","083","A","2023-09-07T08:21:12.000","Y","2023-09-07T08:57:43.000","2","","3513","in-house","parcel_centroid","","4","4","2023-09-07T23:55:00.000","Mission","B,M,R-2","otc alterations permit","2023-09-07T08:52:54.000","8","2023-09-07T00:00:00.000","94103","1677701289181","wood frame (5)","101","N","1","135","apartments","35","{""coordinates"":[-122.42205937,37.771152028],""type"":""Point""}","","issued","wood frame (5)"
"office","1","2023-09-07T12:07:34.000","","1","202309076095","B","2023-09-08T04:14:49.000","49/f: add 19 relocate 84 fire sprinkler per t.i. , ref pa# 202308083931.","Y","0","California","3","St","","026","","2023-09-07T12:07:34.000","Y","","2","","0259","in-house","parcel_centroid","","52","52","2023-09-07T23:55:00.000","Financial District/South Beach","B","otc alterations permit","2023-09-07T12:58:08.000","8","2023-09-07T00:00:00.000","94104","1677749298587","constr type 1","0","N","63973","555","office","","{""coordinates"":[-122.403485954,37.792261647],""type"":""Point""}","","filed","constr type 1"
"apartments","5","2023-09-07T14:09:19.000","23","5","202309076124","R-2","2023-09-08T04:14:49.000","add a metal gate at fire escape on 1st floor (1/f). not visible from public street.","Y","0","Leavenworth","3","St","","038","","2023-09-07T14:09:19.000","","","2","","0045","in-house","eas_address_point","","3","3","2023-09-07T23:55:00.000","Russian Hill","R-2","otc alterations permit","2023-09-07T14:13:52.000","8","2023-09-07T00:00:00.000","94109","1677781230679","wood frame (5)","","N","1500","2555","apartments","23","{""coordinates"":[-122.41871,37.80469],""type"":""Point""}","","filed","wood frame (5)"
"office","","2023-09-07T13:59:47.000","","1","202309076120","B","2023-09-08T04:14:49.000","revision to fa permit# 202012281760 s7. submittal smoke control panel drawing showing the reconfiguration of the ahus depiction.","Y","0","Owens","6","St","","017","","2023-09-07T13:59:47.000","Y","","2","","8709","in-house","parcel_centroid","","","7","2023-09-07T23:55:00.000","Mission Bay","","otc alterations permit","2023-09-07T14:01:39.000","8","2023-09-07T00:00:00.000","94158","1677776511760","constr type 1","","N","1","1450","","","{""coordinates"":[-122.396445266,37.769216429],""type"":""Point""}","","filed",""
"office","1","2023-09-07T12:14:31.000","0","1","202309076045","B,M","2023-09-08T04:14:49.000","relocate 23 pendent sprinklers on the ground level suite 1800. ti ref 202306069337. no under ground work.","Y","14375","Berry","6","St","","005","","2023-09-07T08:11:07.000","Y","2023-09-07T12:14:31.000","2","","3803","in-house","parcel_centroid","","6","6","2023-09-07T23:55:00.000","Mission Bay","B,M","otc alterations permit","2023-09-07T12:05:23.000","8","2023-09-07T00:00:00.000","94158","1677698348598","constr type 1","","N","14375","185","office","0","{""coordinates"":[-122.39179681,37.776327159],""type"":""Point""}","","issued","constr type 1"
"apartments","5","2023-09-07T08:39:58.000","4","5","202309076053","R-2","2023-09-08T04:14:49.000","system replacement & new lf horns to meet sffc 2022 1103.7.6.1","Y","0","19th","8","St","","034","","2023-09-07T08:39:58.000","Y","","2","","2696","in-house","parcel_centroid","","3","3","2023-09-07T23:55:00.000","Castro/Upper Market","R-2","otc alterations permit","2023-09-07T09:03:19.000","8","2023-09-07T00:00:00.000","94114","1677707245884","wood frame (5)","","N","18200","4131","apartments","4","{""coordinates"":[-122.435492683,37.758976143],""type"":""Point""}","","filed","wood frame (5)"
"retail sales","5","2023-09-07T14:23:57.000","0","5","202309076126","B,M","2023-09-08T04:14:49.000","core and shell alterations to include: merge 2 e commercial spaces to become 1. voluntary seismic upgrades. new interior support areas and storage. new accessible restroom. new accessible dbl entry doors","","0","West Portal","7","Av","","027A","","2023-09-07T14:23:57.000","","","2","","2989B","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","West of Twin Peaks","B,M","otc alterations permit","2023-09-07T14:55:14.000","8","2023-09-07T00:00:00.000","94127","1677784370162","wood frame (5)","","N","108000","167","retail sales","0","{""coordinates"":[-122.467433523,37.738953049],""type"":""Point""}","","filed","wood frame (5)"
"apartments","3","2023-09-07T08:48:53.000","4","3","202309076035","R-2","2023-09-08T04:14:49.000","maintence of existing exterior walls, stucco, waterproof, roof maintenance all repairs to be done same and in kind of existing. not street visible.","","35000","Seal Cove","10","Tr","","005","","2023-09-07T07:43:10.000","","2023-09-07T08:48:53.000","0","","4991A","in-house","parcel_centroid","","3","3","2023-09-07T23:55:00.000","Bayview Hunters Point","R-2","otc alterations permit","2023-09-07T08:34:30.000","8","2023-09-07T00:00:00.000","94134","1677686500871","constr type 3","","N","35000","106","apartments","4","{""coordinates"":[-122.394575128,37.711542063],""type"":""Point""}","","issued","constr type 3"
"apartments","5","2023-09-07T11:11:04.000","4","5","202309076081","R-2","2023-09-08T04:14:49.000","cosmetic kitchen remodel. replace some cabinets and painting inside unit.","Y","20000","Jackson","2","St","","028","","2023-09-07T11:11:04.000","","","0","","0589","in-house","parcel_centroid","","4","4","2023-09-07T23:55:00.000","Pacific Heights","R-2","otc alterations permit","2023-09-07T11:37:33.000","8","2023-09-07T00:00:00.000","94115","1677735391257","wood frame (5)","","N","20000","2266","apartments","4","{""coordinates"":[-122.432434106,37.792999237],""type"":""Point""}","A","filed","wood frame (5)"
"retail sales","5","2023-09-07T13:26:08.000","4","5","202309076113","R-2,M","2023-09-08T04:14:49.000","to comply with abe programd install automatic door open with push plates abe#2002003132626","Y","0","24th","8","St","","022","","2023-09-07T13:26:08.000","","","0","","3651","in-house","parcel_centroid","","3","3","2023-09-07T23:55:00.000","Noe Valley","R-2,M","otc alterations permit","2023-09-07T14:18:13.000","8","2023-09-07T00:00:00.000","94114","1677769164031","wood frame (5)","","N","2500","3848","retail sales","4","{""coordinates"":[-122.428413935,37.751827173],""type"":""Point""}","","filed","wood frame (5)"
"1 family dwelling","5","2023-09-07T14:35:21.000","1","5","202309076128","R-3","2023-09-08T04:14:49.000","1) removal of wood siding from upper level of facade. 2)dry rot repair. 3) new waterproofing and lath. 4)new stucco","Y","14000","41st","4","Av","","004P","","2023-09-07T14:35:21.000","","","0","","2009","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","Sunset/Parkside","R-3","otc alterations permit","2023-09-07T15:32:24.000","8","2023-09-07T00:00:00.000","94122","1677787121670","wood frame (5)","","N","14000","1754","1 family dwelling","1","{""coordinates"":[-122.499774909,37.75404799],""type"":""Point""}","","filed","wood frame (5)"
"1 family dwelling","5","2023-09-07T15:16:48.000","1","5","202309076114","R-3","2023-09-08T04:14:49.000","reroofing","Y","20000","Granada","11","Av","","044","","2023-09-07T13:28:07.000","","2023-09-07T15:16:48.000","0","","6942","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","Oceanview/Merced/Ingleside","R-3","otc alterations permit","2023-09-07T15:14:37.000","8","2023-09-07T00:00:00.000","94112","1677770214827","wood frame (5)","","N","20000","264","1 family dwelling","1","{""coordinates"":[-122.456850586,37.723196473],""type"":""Point""}","","issued","wood frame (5)"
"apartments","5","2023-09-07T08:51:19.000","7","5","202309076057","R-2","2023-09-08T04:14:49.000","revision to 202203099629: clarification of roof deck detail","Y","0","Green","3","St","","008","","2023-09-07T08:51:19.000","","","2","","0548","in-house","parcel_centroid","","4","4","2023-09-07T23:55:00.000","Russian Hill","R-2","otc alterations permit","2023-09-07T08:55:52.000","8","2023-09-07T00:00:00.000","94109","1677711235235","wood frame (5)","","N","1","1336","apartments","7","{""coordinates"":[-122.42119663,37.798242635],""type"":""Point""}","","filed","wood frame (5)"
"apartments","5","2023-09-07T13:43:44.000","8","5","202309076072","B,R-2","2023-09-08T04:14:49.000","upgrade existing fire alarm system to comply with sffc section 1103.7.6.1","Y","22541","West Portal","7","Av","","026","","2023-09-07T10:26:21.000","Y","2023-09-07T13:43:44.000","2","","2979A","in-house","parcel_centroid","","3","3","2023-09-07T23:55:00.000","West of Twin Peaks","B,R-2","otc alterations permit","2023-09-07T13:34:37.000","8","2023-09-07T00:00:00.000","94127","1677725261465","wood frame (5)","","N","22500","45","apartments","8","{""coordinates"":[-122.465958492,37.740185711],""type"":""Point""}","","issued","wood frame (5)"
"apartments","1","2023-09-07T14:14:14.000","92","1","202309076106","R-2","2023-09-08T04:14:49.000","unit 23b: paint and door trim. electrical like to like new receptacles. plumbing new faucet.","Y","8000","California","3","St","","075","B","2023-09-07T12:41:13.000","","2023-09-07T14:14:14.000","0","","0247C","in-house","parcel_centroid","","23","23","2023-09-07T23:55:00.000","Nob Hill","R-2","otc alterations permit","2023-09-07T14:04:24.000","8","2023-09-07T00:00:00.000","94109","1677761433099","constr type 1","23","N","8000","1200","apartments","92","{""coordinates"":[-122.414524122,37.791671635],""type"":""Point""}","","issued","constr type 1"
"1 family dwelling","5","2023-09-07T15:31:59.000","1","5","202309076125","R-3","2023-09-08T04:14:49.000","remove and replace 3 rear dryrot decks, rear windows, 3 patio doors with vinyl type in same location; remove and replace rotted t1-ii sidiing and rusted z metals, install new hardiplank siding and misc metals, repaint, new access door at sub basement.","Y","60000","14th","7","Av","","043","","2023-09-07T14:11:34.000","","2023-09-07T15:31:59.000","2","","2203","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","West of Twin Peaks","R-3","otc alterations permit","2023-09-07T15:28:38.000","8","2023-09-07T00:00:00.000","94116","1677782129854","wood frame (5)","","N","50000","2167","1 family dwelling","1","{""coordinates"":[-122.470881826,37.747632232],""type"":""Point""}","","issued","wood frame (5)"
"1 family dwelling","5","2023-09-07T14:00:18.000","1","5","202309076121","R-3","2023-09-08T04:14:49.000","interior remodel of existing 2 bathrooms and kitchen at 2nd flr as per plan.","Y","0","Eucalyptus","4","Dr","","040","","2023-09-07T14:00:18.000","","","2","","7269","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","Sunset/Parkside","R-3","otc alterations permit","2023-09-07T15:18:21.000","8","2023-09-07T00:00:00.000","94132","1677777225790","wood frame (5)","","N","50000","1711","1 family dwelling","1","{""coordinates"":[-122.489359531,37.731026347],""type"":""Point""}","","filed","wood frame (5)"
"apartments","5","2023-09-07T15:09:20.000","36","5","202309076129","R-2","2023-09-08T04:14:49.000","replacement of cabinets: retiling of bathroom and kitchen floors, removal of carpet and replacing w/ hardwood and bathroom retile and vanity replacement.","Y","50000","Red Rock","8","Wy","","425","O","2023-09-07T14:36:56.000","","2023-09-07T15:09:20.000","0","","7517","in-house","parcel_centroid","","4","4","2023-09-07T23:55:00.000","Noe Valley","R-2","otc alterations permit","2023-09-07T15:06:53.000","8","2023-09-07T00:00:00.000","94131","1677788227282","wood frame (5)","105","N","10000","55","apartments","36","{""coordinates"":[-122.4410797,37.746034862],""type"":""Point""}","","issued","wood frame (5)"
"1 family dwelling","3","2023-09-07T14:03:54.000","27","3","202309076123","M,R-2","2023-09-08T04:14:49.000","project consists of a ti in an (e) commercial space for adventurous sports. project to include modifications to (e) layout, plumbing, lighting & hvac. new element include: lightning and outlets, millwork, plumbing, hvac and large exercise equipment.","Y","0","Octavia","6","St","","034","","2023-09-07T14:03:54.000","","","2","","0853","in-house","parcel_centroid","","5","5","2023-09-07T23:55:00.000","Hayes Valley","M,R-2","otc alterations permit","2023-09-07T16:01:02.000","8","2023-09-07T00:00:00.000","94102","1677779507621","constr type 3","","N","283587","188","1 family dwelling","27","{""coordinates"":[-122.423590243,37.773672178],""type"":""Point""}","","filed","constr type 3"
"apartments","5","2023-09-07T09:45:48.000","110","5","202309076064","R-2","2023-09-08T04:14:49.000","dish wireless - remove 6(e) sprint antennas, 2(e) sprint cabinets & assoicated equipment; install 3 (n) dish antennas, 6(n) rrus, 1(n) cabinet; use (3) frp screening; no proposed batteries; install (n) electrical panel","Y","115000","Beale","6","St","","200A","","2023-09-07T09:45:48.000","","","2","","3773","in-house","parcel_centroid","","4","4","2023-09-07T23:55:00.000","Financial District/South Beach","R-2","otc alterations permit","2023-09-07T13:35:30.000","8","2023-09-07T00:00:00.000","94107","1677718471166","wood frame (5)","","N","115000","570","apartments","110","{""coordinates"":[-122.389318304,37.785375877],""type"":""Point""}","","filed","wood frame (5)"
"1 family dwelling","5","2023-09-07T11:58:35.000","1","5","202309076091","R-3","2023-09-08T04:14:49.000","reroofing","Y","13000","Blair","10","Tr","","083","","2023-09-07T11:33:42.000","","2023-09-07T11:58:35.000","0","","4283B","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","Potrero Hill","R-3","otc alterations permit","2023-09-07T11:54:43.000","8","2023-09-07T00:00:00.000","94107","1677745173310","wood frame (5)","","N","13000","86","1 family dwelling","1","{""coordinates"":[-122.399975392,37.751382388],""type"":""Point""}","","issued","wood frame (5)"
"apartments","5","2023-09-07T15:33:04.000","3","5","202309076136","R-2","2023-09-08T04:14:49.000","rebuild deck in kind 10' x 12' rebuild after reroof  (reroof done under a separate permit)","Y","0","Filbert","2","St","","022","","2023-09-07T15:33:04.000","","","0","","0946","in-house","eas_address_point","","3","3","2023-09-07T23:55:00.000","Marina","R-2","otc alterations permit","2023-09-07T15:39:20.000","8","2023-09-07T00:00:00.000","94123","1677798238334","wood frame (5)","","N","5000","2673","apartments","3","{""coordinates"":[-122.44339,37.796753],""type"":""Point""}","","filed","wood frame (5)"
"food/beverage hndlng","5","2023-09-07T10:37:26.000","3","5","202309076075","B,R-2","2023-09-08T04:14:49.000","barrier remediation as identified on plans per abe checklist compliance form. equivalent faciliation (if any) work as show on plans. abe# 201807201696","Y","0","Cortland","9","Av","","017A","","2023-09-07T10:37:26.000","","","2","","5662","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","Bernal Heights","B,R-2","otc alterations permit","2023-09-07T10:51:16.000","8","2023-09-07T00:00:00.000","94110","1677728287872","wood frame (5)","","N","2500","737","food/beverage hndlng","3","{""coordinates"":[-122.414911495,37.739058917],""type"":""Point""}","","filed","wood frame (5)"
"1 family dwelling","5","2023-09-07T11:32:38.000","1","5","202309076090","R-3","2023-09-08T04:14:49.000","1st fl. add 3 bedrooms, 2 full bath, office and media 2nd fl. remodel kitchen and bathroom, add 1 full bath  infill court yard replace new garage door (wood)","Y","0","35th","4","Av","","024","","2023-09-07T11:32:38.000","","","2","","2435","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","Sunset/Parkside","R-3","otc alterations permit","2023-09-07T11:55:27.000","8","2023-09-07T00:00:00.000","94116","1677744136008","wood frame (5)","","N","280000","2546","1 family dwelling","1","{""coordinates"":[-122.492314747,37.73955015],""type"":""Point""}","","filed","wood frame (5)"
"2 family dwelling","5","2023-09-07T08:35:44.000","2","5","202309076051","R-3","2023-09-08T04:14:49.000","to obtain final inspection for work approved under pa# 201411040618. all work is complete.","Y","1","17th","1","Av","","041","","2023-09-07T08:32:13.000","","2023-09-07T08:35:44.000","0","","1659","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","Outer Richmond","R-3","otc alterations permit","2023-09-07T08:33:21.000","8","2023-09-07T00:00:00.000","94118","1677704108906","wood frame (5)","","N","1","718","1 family dwelling","1","{""coordinates"":[-122.47539856,37.774424581],""type"":""Point""}","","issued","wood frame (5)"
"1 family dwelling","","2023-09-07T11:03:34.000","1","5","202309076080","R-3","2023-09-08T04:14:49.000","addendum revision to 201907267098-s1. se & sw corners of rear yard, se corner: relocation one of solid pier/reconfig of retaining wall, reconfig of low landscaping wall. sw corner: reconfig of top landscaping & steps dow to landing","Y","0","Pacific","2","Av","","019","","2023-09-07T11:03:34.000","","","2","","0970","in-house","parcel_centroid","","","3","2023-09-07T23:55:00.000","Presidio Heights","R-3","otc alterations permit","2023-09-07T11:24:39.000","8","2023-09-07T00:00:00.000","94118","167773385566","wood frame (5)","","N","8000","3515","vacant lot","","{""coordinates"":[-122.452994,37.790701587],""type"":""Point""}","","filed",""
